"Medicine name","EML section","Formulations","Indication","Combined with","Status","atc_classification"
"phenoxymethylpenicillin","Access group antibiotics","Oral > Liquid: 250 mg per 5 mL (as potassium salt) powder for oral liquid
Oral > Solid: 250 mg (as potassium salt) tablet
Oral > Solid: 250 mg (as potassium salt); 500 mg (as potassium salt)","Acute pharyngitis","","Added","J01CE02"
"phenoxymethylpenicillin","Access group antibiotics","Oral > Liquid: 250 mg per 5 mL (as potassium salt) powder for oral liquid
Oral > Solid: 250 mg (as potassium salt) tablet
Oral > Solid: 250 mg (as potassium salt); 500 mg (as potassium salt)","Bacterial infection of unspecified site","","Removed","J01CE02"
"phenytoin","Antiseizure medicines","Oral > Liquid: 30 mg per 5 mL (phenytoin)
Parenteral > General injections > unspecified: 50 mg per  mL in vial (phenytoin sodium)
Oral > Solid > tablet: 50 mg (phenytoin) (chewable)
Oral > Solid > dosage form: 50 mg (phenytoin sodium); 25 mg (phenytoin sodium); 100 mg (phenytoin sodium)","Epilepsy or seizures","","Added","N03AB02"
"phytomenadione","Medicines affecting coagulation","Parenteral > General injections > IV: 10 mg per  mL in ampoule; 1 mg per  mL in ampoule
Oral > Solid: 10 mg tablet","Haemorrhagic disorder due to other specified circulating anticoagulants","","Added","B02BA01"
"phytomenadione","Medicines affecting coagulation","Parenteral > General injections > IV: 10 mg per  mL in ampoule; 1 mg per  mL in ampoule
Oral > Solid: 10 mg tablet","Haemorrhagic or haematological disorders of fetus or newborn","","Added","B02BA01"
"pilocarpine","Ophthalmological preparations > Miotics and antiglaucoma medicines","Local > Ophthalmological > Solution (eye drops): 2% (hydrochloride or nitrate); 4% (hydrochloride or nitrate)","Acute angle closure with pupillary block","","Added","S01EB01"
"pilocarpine","Ophthalmological preparations > Miotics and antiglaucoma medicines","Local > Ophthalmological > Solution (eye drops): 2% (hydrochloride or nitrate); 4% (hydrochloride or nitrate)","Ocular hypertension","","Added","S01EB01"
"pilocarpine","Ophthalmological preparations > Miotics and antiglaucoma medicines","Local > Ophthalmological > Solution (eye drops): 2% (hydrochloride or nitrate); 4% (hydrochloride or nitrate)","Primary open-angle glaucoma","","Added","S01EB01"
"piperacillin + tazobactam","Watch group antibiotics","Parenteral > General injections > IV: 2 g (as sodium salt) + 250 mg (as sodium salt) powder for injection; 4 g (as sodium salt) + 500 mg (as sodium salt) powder for injection","Other specified pneumonia (Hospital-acquired pneumonia)","","Added","J01CR05"
"piperacillin + tazobactam","Watch group antibiotics","Parenteral > General injections > IV: 2 g (as sodium salt) + 250 mg (as sodium salt) powder for injection; 4 g (as sodium salt) + 500 mg (as sodium salt) powder for injection","Peritonitis (severe)","","Added","J01CR05"
"piperacillin + tazobactam","Watch group antibiotics","Parenteral > General injections > IV: 2 g (as sodium salt) + 250 mg (as sodium salt) powder for injection; 4 g (as sodium salt) + 500 mg (as sodium salt) powder for injection","Neutropenia (high-risk)","","Added","J01CR05"
"piperacillin + tazobactam","Watch group antibiotics","Parenteral > General injections > IV: 2 g (as sodium salt) + 250 mg (as sodium salt) powder for injection; 4 g (as sodium salt) + 500 mg (as sodium salt) powder for injection","Peritoneal abscess (severe)","","Added","J01CR05"
"platelets","Blood and blood components","Parenteral > General injections > IV: ","Blood transfusion without reported diagnosis","","Added","B05AX02"
"plazomicin","Reserve group antibiotics","Parenteral > General injections > IV: 500 mg per 10 mL (Injection)","Carbapenem resistant Acinetobacter baumannii","","Added","J01GB14"
"plazomicin","Reserve group antibiotics","Parenteral > General injections > IV: 500 mg per 10 mL (Injection)","Carbapenem-resistant Pseudomonas aeruginosa","","Added","J01GB14"
"plazomicin","Reserve group antibiotics","Parenteral > General injections > IV: 500 mg per 10 mL (Injection)","Carbapenem resistant Enterobacterales","","Added","J01GB14"
"pneumococcal vaccine","Recommendations for all immunization programmes","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against single bacterial diseases","","Added","J07AL01"
"podophyllotoxin","Dermatological medicines > Medicines affecting skin differentiation and proliferation","","Anogenital warts","","Added","nan"
"podophyllotoxin","Dermatological medicines > Medicines affecting skin differentiation and proliferation","","Plantar warts","","Added","nan"
"podophyllum resin","Dermatological medicines > Medicines affecting skin differentiation and proliferation","Local > Topical > Solution: 10 to 25%","Anogenital warts","","Added","D06BB04"
"podophyllum resin","Dermatological medicines > Medicines affecting skin differentiation and proliferation","Local > Topical > Solution: 10 to 25%","Plantar warts","","Added","D06BB04"
"poliomyelitis vaccine","Recommendations for all immunization programmes","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against poliomyelitis","","Added","J07BF01"
"poliomyelitis vaccine","Recommendations for all immunization programmes","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against poliomyelitis","","Added","J07BF02"
"poliomyelitis vaccine","Recommendations for all immunization programmes","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against poliomyelitis","","Added","J07BF03"
"poliomyelitis vaccine","Recommendations for all immunization programmes","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against poliomyelitis","","Added","J07BF04"
"polygeline","Plasma substitutes","Parenteral > General injections > IV: 3.5% injectable solution
Parenteral > General injections > IV: 3.5% in solution","Hypovolaemia","","Added","nan"
"polygeline","Plasma substitutes","Parenteral > General injections > IV: 3.5% injectable solution
Parenteral > General injections > IV: 3.5% in solution","Hypovolaemia","","Removed","nan"
"polymyxins","Reserve group antibiotics",".","Other specified bacterial diseases","","Removed","nan"
"potassium chloride","Solutions correcting water, electrolyte and acid-base disturbances > Oral","Oral > Liquid: powder for solution","Hypokalaemia","","Added","A12BA01"
"potassium chloride","Solutions correcting water, electrolyte and acid-base disturbances > Parenteral","Parenteral > General injections > IV: 11.2% in 20 mL ampoule (equivalent to K+ 1.5 mmol/mL and Cl- 1.5 mmol/mL); 7.5% solution for dilution (equivalent to K+ 1 mmol/mL and Cl- 2 mmol/mL); 15% solution for dilution (equivalent to K+ 2 mmol/mL and Cl- 2 mmol/mL)","Hypokalaemia","","Added","B05XA01"
"potassium ferric hexacyanoferrate","Antidotes and other substances used in poisonings > Specific","Oral > Solid: Powder for oral administration","Harmful effects of or exposure to noxious substances, chiefly nonmedicinal as to source, not elsewhere classified","","Added","V03AB31"
"potassium iodide","Antifungal medicines","Local > Topical > Solution: Saturated solution","Sporotrichosis","","Added","nan"
"potassium iodide","Thyroid hormones and antithyroid medicines","Oral > Solid: 60 mg","Thyrotoxicosis","","Added","V03AB21"
"potassium permanganate","Dermatological medicines > Anti-infective medicines","Local > Topical > Solution: aqueous solution: 1:10 000","Tropical phagedaenic ulcer","","Added","D08AX06"
"potassium permanganate","Dermatological medicines > Anti-infective medicines","Local > Topical > Solution: aqueous solution: 1:10 000","Pemphigus","","Added","D08AX06"
"potassium permanganate","Dermatological medicines > Anti-infective medicines","Local > Topical > Solution: aqueous solution: 1:10 000","Other specified pyogenic bacterial infection of skin and subcutaneous tissue","","Added","D08AX06"
"potassium permanganate","Dermatological medicines > Anti-infective medicines","Local > Topical > Solution: aqueous solution: 1:10 000","Impetigo","","Added","D08AX06"
"povidone iodine","Antiseptics","Local > Topical > Solution: 10% (equivalent to 1% available iodine)","Povidone iodine","","Added","D08AG02"
"pralidoxime","Antidotes and other substances used in poisonings > Specific",".","Exposure to or harmful effects of undetermined intent of pesticides","","Removed","V03AB04"
"pramipexole","Antiseizure medicines","Oral > Solid: 125 µg immediate-release; 250 mg immediate-release; 500 µg immediate-release; 750 µg immediate-release; 1 mg immediate-release; 1.5 mg immediate-release; 375 µg extended-release; 750 µg extended-release; 1.5 mg extended-release; 2.25 mg extended-release; 3 mg extended-release; 3.75 mg extended-release; 4.5 extended-release","Parkinson disease","","Removed","N04BC05"
"pravastatin","Lipid-lowering agents","","Mixed hyperlipidaemia","","Added","nan"
"pravastatin","Lipid-lowering agents","","Coronary atherosclerosis","","Added","nan"
"praziquantel","Antischistosomals and other antitrematode medicines","Oral > Solid > tablet: 600 mg (scored); 500 mg; 150 mg","Paragonimiasis","","Added","P02BA01"
"praziquantel","Antischistosomals and other antitrematode medicines","Oral > Solid > tablet: 600 mg (scored); 500 mg; 150 mg","Clonorchiasis","","Added","P02BA01"
"praziquantel","Antischistosomals and other antitrematode medicines","Oral > Solid > tablet: 600 mg (scored); 500 mg; 150 mg","Opisthorchiasis","","Added","P02BA01"
"praziquantel","Antischistosomals and other antitrematode medicines","Oral > Solid > tablet: 600 mg (scored); 500 mg; 150 mg","Schistosomiasis","","Added","P02BA01"
"praziquantel","Intestinal anthelminthics","Oral > Solid > tablet: 600 mg (scored); 500 mg; 150 mg","Taeniasis due to Taenia saginata","","Added","P02BA01"
"praziquantel","Intestinal anthelminthics","Oral > Solid > tablet: 600 mg (scored); 500 mg; 150 mg","Taeniasis due to Taenia solium","","Added","P02BA01"
"praziquantel","Intestinal anthelminthics","Oral > Solid > tablet: 600 mg (scored); 500 mg; 150 mg","Diphyllobothriasis","","Added","P02BA01"
"praziquantel","Intestinal anthelminthics","Oral > Solid > tablet: 600 mg (scored); 500 mg; 150 mg","Hymenolepiasis","","Added","P02BA01"
"praziquantel","Cysticidal medicines","Oral > Solid > tablet: 600 mg (scored); 500 mg; 150 mg","Cysticercosis of central nervous system","","Added","P02BA01"
"precipitated sulfur","Dermatological medicines > Scabicides and pediculicides","Local > Topical > Ointment: ","Pthiriasis","","Added","nan"
"precipitated sulfur","Dermatological medicines > Scabicides and pediculicides","Local > Topical > Ointment: ","Pediculosis corporis","","Added","nan"
"precipitated sulfur","Dermatological medicines > Scabicides and pediculicides","Local > Topical > Ointment: ","Pediculosis capitis","","Added","nan"
"precipitated sulfur","Dermatological medicines > Scabicides and pediculicides","Local > Topical > Ointment: ","Scabies","","Added","nan"
"prednisolone","Hormones and antihormones","Oral > Liquid: 5 mg per  mL
Oral > Solid: 5 mg; 25 mg","Unspecified malignant neoplasms of ill-defined or unspecified sites","","Removed","H02AB06"
"prednisolone","Hormones and antihormones","Oral > Liquid: 5 mg per  mL
Oral > Solid: 5 mg; 25 mg","Plasma cell myeloma","","Added","H02AB06"
"prednisolone","Hormones and antihormones","Oral > Liquid: 5 mg per  mL
Oral > Solid: 5 mg; 25 mg","Follicular lymphoma","","Added","H02AB06"
"prednisolone","Hormones and antihormones","Oral > Liquid: 5 mg per  mL
Oral > Solid: 5 mg; 25 mg","Lymphoid leukaemia, not elsewhere classified","","Added","H02AB06"
"prednisolone","Hormones and antihormones","Oral > Liquid: 5 mg per  mL
Oral > Solid: 5 mg; 25 mg","Malignant neoplasms of prostate","","Added","H02AB06"
"prednisolone","Hormones and antihormones","Oral > Liquid: 5 mg per  mL
Oral > Solid: 5 mg; 25 mg","Chronic lymphocytic leukaemia or small lymphocytic lymphoma","","Added","H02AB06"
"prednisolone","Hormones and antihormones","Oral > Liquid: 5 mg per  mL
Oral > Solid: 5 mg; 25 mg","Hodgkin lymphoma","","Added","H02AB06"
"prednisolone","Hormones and antihormones","Oral > Liquid: 5 mg per  mL
Oral > Solid: 5 mg; 25 mg","Diffuse large B-cell lymphomas","","Added","H02AB06"
"prednisolone","Hormones and antihormones","Oral > Liquid: 5 mg per  mL
Oral > Solid: 5 mg; 25 mg","Burkitt lymphoma including Burkitt leukaemia","","Added","H02AB06"
"prednisolone","Hormones and antihormones","Oral > Liquid: 5 mg per  mL
Oral > Solid: 5 mg; 25 mg","Anaplastic large cell lymphoma, ALK-negative","","Added","H02AB06"
"prednisolone","Hormones and antihormones","Oral > Liquid: 5 mg per  mL
Oral > Solid: 5 mg; 25 mg","Anaplastic large cell lymphoma, ALK-positive","","Added","H02AB06"
"prednisolone","Hormones and antihormones","Oral > Liquid: 5 mg per  mL
Oral > Solid: 5 mg; 25 mg","Langerhans cell histiocytosis","","Added","H02AB06"
"prednisolone","Anti-inflammatory medicines","Local > Rectal > Retention enema: 
Local > Rectal > Retention enema: 20 mg per 100 mL (as sodium phosphate)","Crohn disease site","","Added","nan"
"prednisolone","Anti-inflammatory medicines","Local > Rectal > Retention enema: 
Local > Rectal > Retention enema: 20 mg per 100 mL (as sodium phosphate)","Crohn disease site","","Added","A07EA01"
"prednisolone","Anti-inflammatory medicines","Local > Rectal > Retention enema: 
Local > Rectal > Retention enema: 20 mg per 100 mL (as sodium phosphate)","Ulcerative colitis","","Added","A07EA01"
"prednisolone","Antiallergics and medicines used in anaphylaxis","Oral > Liquid: 5 mg per  mL
Oral > Solid: 5 mg; 25 mg","Allergic or hypersensitivity conditions of unspecified type","","Added","H02AB06"
"prednisolone","Ophthalmological preparations > Anti-inflammatory agents","Local > Ophthalmological > Solution (eye drops): 0.5% (sodium phosphate)","Scleritis","","Added","S01BA04"
"prednisolone","Ophthalmological preparations > Anti-inflammatory agents","Local > Ophthalmological > Solution (eye drops): 0.5% (sodium phosphate)","Anterior uveitis","","Added","S01BA04"
"prednisone","Hormones and antihormones","","Plasma cell myeloma","","Added","nan"
"prednisone","Hormones and antihormones","","Follicular lymphoma","","Added","nan"
"prednisone","Hormones and antihormones","","Lymphoid leukaemia, not elsewhere classified","","Added","nan"
"prednisone","Hormones and antihormones","","Malignant neoplasms of prostate","","Added","nan"
"prednisone","Hormones and antihormones","","Chronic lymphocytic leukaemia or small lymphocytic lymphoma","","Added","nan"
"prednisone","Hormones and antihormones","","Hodgkin lymphoma","","Added","nan"
"prednisone","Hormones and antihormones","","Diffuse large B-cell lymphomas","","Added","nan"
"prednisone","Hormones and antihormones","","Anaplastic large cell lymphoma, ALK-negative","","Added","nan"
"prednisone","Hormones and antihormones","","Anaplastic large cell lymphoma, ALK-positive","","Added","nan"
"prednisone","Hormones and antihormones","","Langerhans cell histiocytosis","","Added","nan"
"prednisone","Antiallergics and medicines used in anaphylaxis","","Allergic or hypersensitivity conditions of unspecified type","","Added","nan"
"pretomanid","Antituberculosis medicines","Oral > Solid > tablet: 200 mg","Multi-drug resistant Mycobacterium tuberculosis","","Added","J04AK08"
"primaquine","Antimalarial medicines > For curative treatment","Oral > Solid: 7.5 mg tablet (as phosphate); 15 mg tablet (as phosphate)","Malaria due to Plasmodium ovale","","Added","P01BA03"
"primaquine","Antimalarial medicines > For curative treatment","Oral > Solid: 7.5 mg tablet (as phosphate); 15 mg tablet (as phosphate)","Malaria due to Plasmodium vivax","","Added","P01BA03"
"probenecid","Medicines used to treat gout","Oral > Solid: 500 mg","Gout","","Removed","M04AB01"
"procainamide","Antiarrhythmic medicines","Parenteral > General injections > IV: 100 mg per  mL in 10 mL ampoule (hydrochloride)
Oral > Solid: 500 mg (hydrochloride); 250 mg (hydrochloride)","Cardiac arrhythmia","","Removed","C01BA02"
"procaine benzylpenicillin","Access group antibiotics","Parenteral > General injections > IM: 1 g in vial (=1 million IU) powder for injection; 3 g in vial (=3 million IU) powder for injection","Congenital syphilis [children]","","Added","J01CE09"
"procaine benzylpenicillin","Access group antibiotics","Parenteral > General injections > IM: 1 g in vial (=1 million IU) powder for injection; 3 g in vial (=3 million IU) powder for injection","Syphilis","","Added","J01CE09"
"procarbazine","Cytotoxic medicines","Oral > Solid: 50 mg (as hydrochloride)","Unspecified malignant neoplasms of ill-defined or unspecified sites","","Removed","L01XB01"
"procarbazine","Cytotoxic medicines","Oral > Solid: 50 mg (as hydrochloride)","Hodgkin lymphoma","","Added","L01XB01"
"progesterone vaginal ring","Intravaginal contraceptives","Local > Vaginal > vaginal ring: 2.074 g micronized progesterone","Contact with health services for contraceptive management","","Added","G03DA04"
"proguanil","Antimalarial medicines > For chemoprevention","Oral > Solid: 100 mg tablet (hydrochloride)","Malaria due to Plasmodium falciparum","","Added","P01BB01"
"promethazine","Antiemetic medicines","Oral > Liquid: 5 mg per 5 mL (hydrochloride)
Oral > Solid: 10 mg (hydrochloride); 25 mg (hydrochloride)
Parenteral > General injections > unspecified: 25 mg per  mL in 2 mL ampoule","Nausea or vomiting","","Removed","R06AD02"
"propanol","Antiseptics","","Denatured alcohol","","Added","nan"
"propofol","General anaesthetics and oxygen > Injectable medicines","Parenteral > General injections > IV: 10 mg per  mL; 20 mg per  mL","Anaesthetics and therapeutic gases","","Added","N01AX10"
"propranolol","Antihypertensive medicines","Oral > Solid: 80 mg tablet (hydrochloride); 40 mg tablet (hydrochloride)","Essential hypertension","","Removed","C07AA05"
"propranolol","Antianginal medicines","Parenteral > General injections > IV: 1 mg in 1 mL ampoule (hydrochloride)
Oral > Solid: 10 mg tablet (hydrochloride); 40 mg tablet (hydrochloride)","Angina pectoris","","Removed","C07AA05"
"propranolol","Antiarrhythmic medicines","Parenteral > General injections > IV: 1 mg in 1 mL ampoule (hydrochloride)
Oral > Solid: 10 mg tablet (hydrochloride); 40 mg tablet (hydrochloride)","Cardiac arrhythmia","","Removed","C07AA05"
"propranolol","Antimigraine medicines > For prophylaxis","Oral > Solid: 40 mg tablet (hydrochloride); 20 mg tablet (hydrochloride)","Migraine","","Added","C07AA05"
"propylthiouracil","Thyroid hormones and antithyroid medicines","Oral > Solid: 50 mg","Thyrotoxicosis","","Added","H03BA02"
"prostaglandin E1","Medicines administered to the neonate [c]","Parenteral > General injections > IV: 0.5 mg per  mL in alcohol","Other specified congenital anomaly of great arteries including arterial duct","","Added","C01EA01"
"prostaglandin E2","Medicines administered to the neonate [c]","Parenteral > General injections > IV: 1 mg per  mL","Other specified congenital anomaly of great arteries including arterial duct","","Added","nan"
"prostaglandin E2","Medicines administered to the neonate [c]","Parenteral > General injections > IV: 1 mg per  mL","Other specified congenital anomaly of great arteries including arterial duct","","Removed","G02AD02"
"protamine sulfate","Medicines affecting coagulation","Parenteral > General injections > IV: 10 mg per  mL in 5 mL ampoule","Haemorrhagic disorder due to other specified circulating anticoagulants","","Added","V03AB14"
"protionamide","Antituberculosis medicines","","Multi-drug resistant Mycobacterium tuberculosis","","Added","nan"
"pyrantel","Intestinal anthelminthics","Oral > Solid > tablet: 250 mg (chewable) (as embonate or pamoate)","Ascariasis","","Added","P02CC01"
"pyrantel","Intestinal anthelminthics","Oral > Solid > tablet: 250 mg (chewable) (as embonate or pamoate)","Enterobiasis","","Added","P02CC01"
"pyrantel","Intestinal anthelminthics","Oral > Solid > tablet: 250 mg (chewable) (as embonate or pamoate)","Trichuriasis","","Added","P02CC01"
"pyrantel","Intestinal anthelminthics","Oral > Solid > tablet: 250 mg (chewable) (as embonate or pamoate)","Hookworm diseases","","Added","P02CC01"
"pyrazinamide","Antituberculosis medicines","Oral > Solid: 400 mg; 150 mg tablet (dispersible); 500 mg","Tuberculosis","","Added","J04AK01"
"pyridostigmine","Muscle relaxants (peripherally-acting) and cholinesterase inhibitors","Parenteral > General injections > IV: 1 mg in 1 mL ampoule (pyridostigmine bromide)
Oral > Solid: 60 mg (pyridostigmine bromide)","Myasthenia gravis","","Added","N07AA02"
"pyridoxine","Vitamins and minerals","Oral > Solid: 25 mg (hydrochloride)","Vitamin B6 deficiency","","Added","A11HA02"
"pyridoxine","Vitamins and minerals","Oral > Solid: 25 mg (hydrochloride)","Sideroblastic anaemia","","Added","A11HA02"
"pyridoxine","Vitamins and minerals","Oral > Solid: 25 mg (hydrochloride)","Other specified polyneuropathy","","Added","A11HA02"
"pyrimethamine","Antipneumocystosis and antitoxoplasmosis medicines","Oral > Solid: 25 mg","Toxoplasmosis","","Added","P01BD01"
"quinidine","Antiarrhythmic medicines","Oral > Solid: 200 mg (sulfate)","Cardiac arrhythmia","","Removed","C01BA01"
"quinine","Antimalarial medicines > For curative treatment","Parenteral > General injections > IV: 300 mg per  mL in 2 mL ampoule (quinine hydrochloride)
Oral > Solid: 300 mg (quinine sulfate or quinine bisulfate)","Malaria due to Plasmodium falciparum","","Added","P01BC01"
"rabies vaccine","Recommendations for some high-risk populations","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against rabies","","Added","J07BG01"
"raltegravir","Antiretrovirals > Integrase inhibitors","Oral > Liquid: 100 mg granules for oral suspension
Oral > Solid: 400 mg tablet; 25 mg tablet (chewable)","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Added","J05AJ01"
"ranibizumab","Ophthalmological preparations > Anti-vascular endothelial growth factor (VEGF) preparations",".","Retinal venous occlusions","","Removed","S01LA04"
"ranibizumab","Ophthalmological preparations > Anti-vascular endothelial growth factor (VEGF) preparations",".","Diabetic macular oedema","","Removed","S01LA04"
"ranibizumab","Ophthalmological preparations > Anti-vascular endothelial growth factor (VEGF) preparations",".","Degenerative high myopia","","Removed","S01LA04"
"ranibizumab","Ophthalmological preparations > Anti-vascular endothelial growth factor (VEGF) preparations",".","Age related macular degeneration","","Removed","S01LA04"
"ranitidine","Antiulcer medicines","Oral > Liquid: 75 mg per 5 mL (as hydrochloride)
Oral > Solid: 150 mg (as hydrochloride)
Parenteral > General injections > unspecified: 25 mg per  mL in 2 mL ampoule (as hydrochloride)","Gastro-oesophageal reflux disease","","Added","A02BA02"
"ranitidine","Antiulcer medicines","Oral > Liquid: 75 mg per 5 mL (as hydrochloride)
Oral > Solid: 150 mg (as hydrochloride)
Parenteral > General injections > unspecified: 25 mg per  mL in 2 mL ampoule (as hydrochloride)","Peptic ulcer, site unspecified","","Added","A02BA02"
"rasburicase","Supportive medicines","Parenteral > General injections > IV: 1.5 mg in vial powder and solvent for solution; 7.5 mg in vial powder and solvent for solution","Tumour lysis syndrome","","Added","V03AF07"
"ravidasvir","Medicines for hepatitis C > Pangenotypic direct-acting antiviral combinations","Oral > Solid > tablet: 200 mg","Chronic hepatitis C","","Added","nan"
"realgar-indigo naturalis formulation","Cytotoxic medicines","Oral > Solid: 270 mg (containing tetra-arsenic tetra-sulfide 30 mg)","Acute myeloid leukaemia with recurrent genetic abnormalities","","Added","nan"
"red blood cells","Blood and blood components","Parenteral > General injections > IV: ","Blood transfusion without reported diagnosis","","Added","B05AX01"
"retinol","Vitamins and minerals","Parenteral > General injections > IM: 100000 IU in 2 mL ampoule (as palmitate) water-miscible injection
Oral > Liquid: 100000 IU per  mL (as palmitate) oral oily solution in multidose dispenser
Oral > Solid: 10000 IU (as palmitate) sugar-coated tablet; 200000 IU (as palmitate) capsule; 50000 IU (as palmitate) capsule; 100000 IU (as palmitate) capsule","Vitamin A deficiency","","Added","A11CA01"
"ribavirin","Other antivirals","Parenteral > General injections > IV: 1000 mg per 10 mL phosphate buffer solution; 800 mg per 10 mL phosphate buffer solution
Oral > Solid: 200 mg; 400 mg; 600 mg","Viral haemorrhagic fever, not elsewhere classified","","Added","J05AB04"
"ribavirin","Medicines for hepatitis C > Other antivirals for hepatitis C","Parenteral > General injections > IV: 1000 mg per 10 mL phosphate buffer solution; 800 mg per 10 mL phosphate buffer solution
Oral > Solid: 200 mg; 400 mg; 600 mg","Chronic hepatitis C","","Added","J05AP01"
"riboflavin","Vitamins and minerals","Oral > Solid: 5 mg","Vitamin B2 deficiency","","Added","A11HA04"
"rifabutin","Antituberculosis medicines","Oral > Solid: 150 mg","Tuberculosis","","Added","J04AB04"
"rifampicin","Antituberculosis medicines","Oral > Liquid: 20 mg per  mL
Oral > Solid: 150 mg; 300 mg
Parenteral > General injections > IV: 600 mg in vial powder for injection","Tuberculosis","","Added","J04AB02"
"rifampicin","Antituberculosis medicines","Oral > Liquid: 20 mg per  mL
Oral > Solid: 150 mg; 300 mg
Parenteral > General injections > IV: 600 mg in vial powder for injection","Other specified tuberculosis","","Removed","J04AB02"
"rifampicin","Antileprosy medicines","Oral > Liquid: 20 mg per  mL
Oral > Solid: 150 mg; 300 mg","Leprosy","","Added","J04AB02"
"rifapentine","Antituberculosis medicines","Oral > Solid: 150 mg tablet; 300 mg tablet","Tuberculosis","","Added","J04AB05"
"rifapentine","Antituberculosis medicines","Oral > Solid: 150 mg tablet; 300 mg tablet","Latent tuberculosis","","Added","J04AB05"
"risdiplam","Medicines for diseases of the nervous system","Oral > Liquid: 0.75 mg per  mL powder for oral liquid","Spinal muscular atrophy","","Removed","M09AX10"
"ritonavir","Antiretrovirals > Protease inhibitors","Oral > Solid: 25 mg tablet (heat stable); 100 mg tablet (heat stable)","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Added","J05AE03"
"rituximab","Targeted therapies","Parenteral > General injections > IV: 100 mg per 10 mL in 10 mL vial; 500 mg per 50 mL in 50 mL vial","Follicular lymphoma","","Added","L01FA01"
"rituximab","Targeted therapies","Parenteral > General injections > IV: 100 mg per 10 mL in 10 mL vial; 500 mg per 50 mL in 50 mL vial","Chronic lymphocytic leukaemia or small lymphocytic lymphoma","","Added","L01FA01"
"rituximab","Targeted therapies","Parenteral > General injections > IV: 100 mg per 10 mL in 10 mL vial; 500 mg per 50 mL in 50 mL vial","Diffuse large B-cell lymphomas","","Added","L01FA01"
"rituximab","Medicines for multiple sclerosis","Parenteral > General injections > IV: 500 mg per 50 mL in 50 mL vial","Multiple sclerosis","","Added","L01FA01"
"rivaroxaban","Medicines affecting coagulation","","Venous thromboembolism","","Added","nan"
"rivaroxaban","Medicines affecting coagulation","","Other specified atrial fibrillation","","Added","nan"
"ropinirole","Antiseizure medicines","Oral > Solid: 0.25 mg immediate-release; 0.5 mg immediate-release; 1 mg immediate-release; 2 immediate-release; 3 mg immediate-release; 4 mg immediate-release; 5 mg immediate-release; 2 mg extended-release; 4 mg extended-release; 6 mg extended-release; 8 mg extended-release; 12 mg extended-release","Parkinson disease","","Removed","N04BC04"
"rotavirus vaccine","Recommendations for all immunization programmes","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against certain single viral diseases","","Added","J07BH01"
"rotavirus vaccine","Recommendations for all immunization programmes","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against certain single viral diseases","","Added","J07BH02"
"rubella vaccine","Recommendations for all immunization programmes","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against rubella alone","","Added","J07BJ01"
"salbutamol","Antiasthmatic and medicines for chronic obstructive pulmonary disease","Parenteral > General injections > IV: 50 µg per  mL in 5 mL ampoule (as sulfate)
Respiratory > Inhalation > aerosol: 100 µg per  dose (as sulfate); 100 µg per  dose (as sulfate) metered-dose inhaler
Respiratory > Inhalation > solution: 5 mg per  mL (as sulfate) for use in nebulizers","Chronic obstructive pulmonary disease","","Added","R03AC02"
"salbutamol","Antiasthmatic and medicines for chronic obstructive pulmonary disease","Parenteral > General injections > IV: 50 µg per  mL in 5 mL ampoule (as sulfate)
Respiratory > Inhalation > aerosol: 100 µg per  dose (as sulfate); 100 µg per  dose (as sulfate) metered-dose inhaler
Respiratory > Inhalation > solution: 5 mg per  mL (as sulfate) for use in nebulizers","Asthma","","Added","R03AC02"
"salicylic acid","Dermatological medicines > Medicines affecting skin differentiation and proliferation","Local > Topical > Solution: 5%","Seborrhoeic dermatitis","","Added","D01AE12"
"salicylic acid","Dermatological medicines > Medicines affecting skin differentiation and proliferation","Local > Topical > Solution: 5%","Psoriasis of unspecified type","","Added","D01AE12"
"salicylic acid","Dermatological medicines > Medicines affecting skin differentiation and proliferation","Local > Topical > Solution: 5%","Ichthyoses","","Added","D01AE12"
"saquinavir","Antiretrovirals > Protease inhibitors","Oral > Solid: 200 mg; 500 mg","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Removed","J05AE01"
"selenium sulfide","Dermatological medicines > Antifungal medicines","Local > Topical > Suspension: 2% detergent-based","Seborrhoeic dermatitis","","Added","D01AE13"
"selenium sulfide","Dermatological medicines > Antifungal medicines","Local > Topical > Suspension: 2% detergent-based","Pityriasis versicolor","","Added","D01AE13"
"senna","Medicines for other common symptoms in palliative care","Oral > Liquid: 7.5 mg per 5 mL oral liquid","Palliative care","","Added","A06AB06"
"senna","Laxatives","Oral > Solid: 7.5 mg (sennosides) (or traditional dosage forms)","Constipation","","Added","A06AB06"
"sevoflurane","General anaesthetics and oxygen > Inhalational medicines","Respiratory > Inhalation > liquid: ","Anaesthetics and therapeutic gases","","Added","N01AB08"
