atc_classification,activeingredient,activeingredient_cy,brandname_uk_cy,brandname_uk_lat,manufacturer,dosage_cy,dosage,info_uk
C09BX01,Perindopril / Indapamide / Amlodipine,Периндоприл / Індапамід / Амлодипін,ТРИ‐АЛІТЕР®,TRI‐ALITER,"ТОВ НВФ
""МІКРОХІМ""","таблетки, по
4 мг/1,25 мг/10 мг; 4 мг/1,25 мг/5 мг; 8 мг/2,5 мг/10 мг; 8 мг/2,5
мг/5 мг;","tablets,
4 mg / 1.25 mg / 10 mg;
4 mg / 1.25 mg / 5 mg;
8 mg / 2.5 mg / 10
mg;",https://compendium.com.ua/info/352107/tri‐aliter/
NA,NA,NA,NA,NA,NA,NA,8 mg / 2.5 mg / 5 mg;,NA
C09BX01,Perindopril / Indapamide / Amlodipine,Периндоприл / Індапамід / Амлодипін,"ТРИПЛІКСАМ® 5 МГ/1,25 МГ/5 МГ; ТРИПЛІКСАМ® 5 МГ/1,25 МГ/10 МГ;
ТРИПЛІКСАМ® 10 МГ/2,5 МГ/5 МГ; ТРИПЛІКСАМ® 10 МГ/2,5 МГ/10 МГ;","TRIPLIXAM® 5 MG/1,25 MG/5 MG; TRIPLIXAM® 5 MG/1,25 MG/10 MG;
TRIPLIXAM® 10 MG/2,5 MG/5 MG; TRIPLIXAM® 10 MG/2,5 MG/10 MG;","Лабораторії Серв'є Індастрі, Франція","таблетки, по
5 мг/1,25 мг/5 мг; 5 мг/1,25 мг/10 мг; 10 мг/2,5 мг/5 мг; 10 мг/2,5
мг/10 мг;","tablets,
5 mg / 1.25 mg / 5 mg ;
5 mg / 1.25 mg / 10 mg ;
10 mg / 2.5 mg / 5 mg ;
10 mg / 2.5 mg / 10
mg ;",https://compendium.com.ua/info/220239/tripliksam‐sup‐sup‐/
C09BX02,Perindopril / Bisoprolol,"Бісопролол /
Периндоприл","КОСІРЕЛЬ 5 МГ/5 МГ;
КОСІРЕЛЬ 5 МГ/10 МГ;
КОСІРЕЛЬ 10 МГ/5 МГ;
КОСІРЕЛЬ 10 МГ/10
МГ;","COSYREL® 5 MG/5 MG;
COSYREL® 5 MG/10 MG;
COSYREL® 10 MG/5 MG;
COSYREL® 10 MG/10
MG;","Лабораторії Серв'є Індастрі, Франція","таблетки, по
5 мг/5 мг;
5 мг/10 мг;
10 мг/5 мг;
10 мг/10 мг;","tablets,
5 mg / 5 mg ;
5 mg / 10 mg ;
10 mg / 5 mg ;
10 mg / 10 mg ;",https://mozdocs.kiev.ua/likiview.php?id=43425
C09BX02,Perindopril and bisoprolol,"Бісопролол /
Периндоприл",ПРЕСТИЛОЛ® 10 МГ/5 МГ ПРЕСТИЛОЛ® 5 МГ/10 МГ,"PRESTILOL 10 МГ/5 МГ
PRESTILOL 5 МГ/10 МГ","Лабораторії Серв'є Індастрі, Франція/ Серв'є (Ірландія) Індастріс
Лтд,
Ірландія","таблетки, по
5 мг/10 мг;","tablets,
5 mg / 10 mg;",https://compendium.com.ua/info/255159/prestilol/
C09CA01,Losartan,Лосартан,ЛОЗАРТАН‐ТЕВА,LOSARTAN‐TEVA,"АТ Фармацевтичний завод ТЕВА,
Угорщина","таблетки, по 100 мг; 50 мг; 25 мг; 12,5
мг;","tablets, 100 mg; 50
mg; 25 mg; 12.5 mg;",https://compendium.com.ua/info/339264/lozartan‐teva/
C09CA01,Losartan,Лосартан,ЛОЗАРТАН КРКА,LOSARTAN КРКА,"Сандоз Груп Саглик Урунлері Ілакларі Сан. ве Тік. А.С.,
Туреччина/ Салютас Фарма ГмбХ, Німеччина / Лек фармацевтична компанія
д.д.,
Словенія","таблетки, по 100 мг; 50 мг;","tablets, 100 mg; 50 mg;",NA
C09CA01,Losartan,Лосартан,"ЛОЗАРТАН
САНДОЗ®",LOSARTAN SANDOZ®,"КРКА, д.д., Ново
место, Словенія","таблетки, по 100 мг;
50 мг;","tablets, 100 mg; 50
mg;",NA
C09CA01,Losartan,Лосартан,ЛОСАРТАН КСАНТІС,NA,"Ципла Лтд, Індія","таблетки, по 100 мг;
50 мг; 25 мг;12,5 мг;","tablets, 100 mg; 50
mg; 25 mg, 12.5 mg;",NA
C09CA01,Losartan,Лосартан,КЛОСАРТ®,KLOSART®,"ТОВ ""КУСУМ
ФАРМ"", м. Суми,
Україна","таблетки, по 100 мг; 50 мг; 25 мг;","tablets, 100 mg; 50
mg; 25 mg;",NA
C09CA01,Losartan,Лосартан,ЛОЗАП®,LOZAP®,"АТ ""Санека
Фармасьютікалз"",","таблетки, по 50 мг;
100 мг;","tablets, 50 mg; 100
mg;",NA
NA,NA,NA,NA,NA,"Словацька
Республіка",NA,NA,NA
C09CA01,Losartan,Лосартан,ЛОРІСТА®,LORISTA®,"КРКА, д.д., Ново место, Словенія","таблетки, по 100 мг; 50 мг; 25 мг; 12,5
мг;","tablets, 100 mg; 50
mg; 25 mg; 12.5 mg;",NA
C09CA01,Losartan,Лосартан,ЛОТАР®,LOTAR®,"АЛКАЛОЇД АД
Скоп’є","таблетки, по 100 мг;
50 мг;","tablets, 100 mg; 50
mg;",NA
C09CA01,Losartan,Лосартан,"ПРЕСАРТАН®‐50;
ПРЕСАРТАН®‐100;","PRESARTAN®‐50;
PRESARTAN®‐100;","Іпка Лабораторіз
Лімітед, Індія","таблетки, по 50 мг;
100 мг;","tablets, 50 mg; 100
mg;",NA
C09CA01,Losartan,Лосартан,СЕНТОР®,SENTOR®,"ВАТ ""Гедеон Ріхтер"",
Угорщина","таблетки, по 100 мг;
50 мг;","tablets, 100 mg; 50
mg;",NA
C09CA01,Losartan,Лозартан,ТРОСАН,TROSAN,"Ауробіндо Фарма Лімітед ‐ Юніт ІІІ,
Індія","таблетки, по 25 мг; 50 мг; 100 мг;","tablets, 25 mg; 50
mg; 100 mg;",NA
C09CA02,Eprosartan,Епросартан,ТЕВЕТЕН®,TEVETEN®,Майлан Лабораторіз САС,"таблетки, по 600 мг;","tablets, 600 mg;",https://compendium.com.ua/info/108168/teveten‐sup‐sup‐/
C09CA03,Valsartan,Bалсартан,ТІАРА СОЛО,TIARA SOLO,"ПрАТ
""Фармацевтична фірма ""Дарниця"",
Україна","таблетки, по 160 мг; 80 мг;","tablets, 160 mg; 80 mg;",https://compendium.com.ua/info/368304/
C09CA03,Valsartan,Bалсартан,АДЕНІЗ,ADENIZ,"ТОВ НВФ
""Мікрохім"", м. Рубіжне, Луганська
обл., Україна","таблетки, по 80 мг; 160 мг;","tablets, 80 mg; 160 mg;",https://compendium.com.ua/info/356001/597110/
C09CA03,Valsartan,Bалсартан,"ВАЛМІСАР 40;
ВАЛМІСАР 80;
ВАЛМІСАР 160;
ВАЛМІСАР 320;","VALMISAR 40;
VALMISAR 80 ;
VALMISAR 160;
VALMISAR 320;","Маклеодс Фармасьютикалс Лімітед, Індія","таблетки, по 320 мг; 160 мг; 80 мг; 40 мг;","tablets, 320 mg ; 160 mg ; 80 mg ; 40 mg ;",https://mozdocs.kiev.ua/likiview.php?id=42525
C09CA03,Valsartan,Bалсартан,ВАЛМІСАР H,VALMISAR H,"Маклеодс Фармасьютикалс Лімітед, Індія","таблетки, по
160 мг/12,5 мг;
160 мг/25 мг;
320 мг/12,5 мг; 320 мг /25 мг;
80 мг /12,5 мг;","tablets,
160 mg / 12.5 mg;
160 mg / 25 mg;
320 mg / 12.5 mg;
320 mg / 25 mg;
80 mg / 12.5 mg;",https://mozdocs.kiev.ua/likiview.php?id=45253
C09CA03,Valsartan,Bалсартан,ВАЛСАР,VALSAR,"Ауробіндо Фарма Лімітед – ЮНІТ VII,
Індія","таблетки, по 80
мг;160 мг;","tablets, 80 mg ; 160 mg ;",NA
C09CA03,Valsartan,Bалсартан,ВАЗАР,VAZAR,"АТ Фармацевтичний завод ТЕВА, Угорщина / Тева Чех Індастріз
с.р.о.,
Чеська Республіка","таблетки, по 80
мг;160 мг;","tablets, 80 mg ; 160 mg ;",NA
C09CA03,Valsartan,Bалсартан,ВАЛСАРТАН КРКА,VALSARTAN KRKA,"КРКА, д.д., Ново
место, Словенія","таблетки, по 80 мг;
160 мг; 320 мг;","tablets, 80 mg; 160
mg; 320 mg;",NA
C09CA03,Valsartan,Bалсартан,ВАЛСАРТАН‐ТЕВА,VALSARTAN TEVA,"Актавіс ЛТД, Мальта Балканфарма‐ Дупниця АТ,
Болгарія","таблетки, по 40 мг; 80 мг; 160 мг; 320
мг;","tablets, 40 mg; 80
mg; 160 mg; 320 mg;",NA
C09CA03,Valsartan,Bалсартан,ВАЛСАРТАН САНДОЗ®,VALSARTAN SANDOZ®,"Новартіс Фармацевтика С.А., Іспанія / Лек фармацевтична компанія
д.д.,
Словенія","таблетки, по 80 мг; 160 мг;","tablets, 80 mg ; 160 mg ;",NA
C09CA03,Valsartan,Bалсартан,ВАЛЬСАКОР®,VALSACOR®,"КРКА, д.д., Ново место, Словенія","таблетки, по 40 мг; 80 мг; 160 мг; 320
мг;","tablets, 40 mg; 80
mg; 160 mg; 320 mg;",NA
C09CA03,Valsartan,Bалсартан,ВАЛЬСАРІЯ,VALSARIA,"Новартіс Фармацевтика С.А., Іспанія / Лек фармацевтична компанія
д.д.,
Словенія","таблетки, по 80 мг; 160 мг;","tablets, 80 mg; 160 mg;",NA
C09CA03,Valsartan,Bалсартан,ВАНАТЕКС,VANATEX,"Фармацевтичний завод
„ПОЛЬФАРМА” С. А.","таблетки, по 80 мг; 160 мг;","tablets, 80 mg; 160 mg;",NA
C09CA03,Valsartan,Bалсартан,ДІОВАН®,DIOVAN®,"Новартіс Фарма Штейн АГ,
Швейцарія","таблетки, по 160 мг; 80 мг;","tablets, 160 mg; 80 mg;",NA
C09CA03,Valsartan,Bалсартан,"ДІОКОР СОЛО 80;
ДІОКОР СОЛО 160;","DIOCOR SOLO 80;
DIOCOR SOLO 160;","ТОВ ""Фарма Старт"",
м.Київ, Україна","таблетки, по 160 мг;
80 мг;","tablets, 160 mg; 80
mg;",NA
C09CA03,Valsartan,Bалсартан,КАРДОПАН‐ САНОВЕЛЬ,CARDOPAN‐ SANOVEL,"Сановель Іляч Санаі ве Тиджарет А.Ш.,
Туреччина","таблетки, по 80 мг; 160 мг; 320 мг;","tablets, 80 mg; 160
mg; 320 mg;",NA
C09CA03,Valsartan,Bалсартан,КОРСАР®,NA,"Сановель Іляч Санаі ве Тиджарет А.Ш.,
Туреччина","таблетки, по 80 мг; 160 мг; 320 мг;","tablets, 80 mg; 160
mg; 320 mg;",NA
C09CA03,Valsartan,Bалсартан,САКОРД,SAKORD,"БАЛКАНФАРМА‐ ДУПНИЦЯ АД,
Болгарія","таблетки, по 160 мг; 80 мг;","tablets, 160 mg; 80 mg;",NA
C09CA04,Irbesartan,Ірбесартан,РОТАЗАР,ROTAZAR,"УОРЛД МЕДИЦИН ІЛАЧ САН. ВЕ ТІДЖ.
А.Ш.","таблетки, по 150 мг; 300 мг; 75 мг;","tablets, 150 mg; 300
mg; 75 mg;",https://mozdocs.kiev.ua/likiview.php?id=44235
C09CA04,Irbesartan,Ірбесартан,КОНВЕРІУМ,CONVERIUM,"Медокемі ЛТД, Кіпр","таблетки, по 150 мг; 300 мг;","tablets, 150 mg; 300 mg;",https://compendium.com.ua/info/173335/konverium/
C09CA04,Irbesartan,Ірбесартан,АПРОВЕЛЬ®,APROVEL®,"Санофі Вінтроп Індастріа, Франція","таблетки, по 150 мг; 300 мг;","tablets, 150 mg ; 300 mg ;",https://mozdocs.kiev.ua/likiview.php?id=42270
C09CA04,Irbesartan,Ірбесартан,ІРБЕТАН,IRBETAN,"ПАТ ""Київський вітамінний завод"",
м. Київ, Україна","таблетки, по 300 мг;","tablets, 300 mg;",https://compendium.com.ua/info/170886/99288/
C09CA06,Candesartan,Кандесартан,АЙРА–САНОВЕЛЬ,AYRA–SANOVEL,"Сановель Іляч Санаі ве Тиджарет А.Ш.,
Туреччина","таблетки, по 8 мг; 16 мг;","tablets , 8 mg; 16 mg;",https://mozdocs.kiev.ua/likiview.php?id=48929
C09CA06,Candesartan,Кандесартан,АТАКАНД,ATACAND®,"АстраЗенека АБ,
Швеція","таблетки, по 16 мг;
8 мг;","tablets , 16 mg; 8 mg;",NA
C09CA06,Candesartan,Кандесартан,КАНДЕКОР®,CANDECOR®,"КРКА, д.д., Ново
место, Словенія","таблетки, по 4 мг; 8
мг; 16 мг; 32 мг;","tablets, 4 mg; 8 mg;
16 mg; 32 mg;",NA
C09CA06,Candesartan,Кандесартан,КАНДЕСАР,CANDESAR,"Сан Фармасьютикал Індастріз Лімітед,
Індія","таблетки, по 4 мг; 8
мг; 16 мг; 32 мг;","tablets, 4 mg; 8 mg;
16 mg; 32 mg;",NA
C09CA06,Candesartan,Кандесартан,КАНТАБ,CANTAB,"НОБЕЛ ІЛАЧ САНАЇ ВЕ ТІДЖАРЕТ А.Ш.,
Туреччина","таблетки, по 8 мг; 16 мг; 32 мг;","tablets, 8 mg; 16 mg;
32 mg;",NA
C09CA06,Candesartan,Кандесартан,КАРЗАП®,CARZAP®,"ТОВ ""Зентіва"",
Чеська Республіка","таблетки, по 16 мг;
8 мг;","tablets, 16 mg; 8 mg;",NA
C09CA06,Candesartan,Кандесартан,КАСАРК®,CASARK,"ПАТ
""Київмедпрепарат"",
м. Київ, Україна","таблетки, по 32 мг; 16 мг; 8 мг;","tablets, 32 mg; 16
mg; 8 mg;",NA
C09CA07,Telmisartan,Телмісартан,АРБИТЕЛЬ,ARBITEL,"Мікро Лабс Лімітед, Індія","таблетки, по 80 мг; 40 мг; 20 мг;","tablets , 80 mg; 40
mg; 20 mg;",https://compendium.com.ua/info/375528/778851/
C09CA08,Оlmesartan medoxomil,Олмесартану медоксоміл,"КАРДОСАЛ® 10 МГ;
КАРДОСАЛ® 20 МГ; КАРДОСАЛ®40 МГ;","CARDOSAL® 10 MG;
CARDOSAL® 20 MG;
CARDOSAL® 40 MG;","Даічі Санкіо Юроуп ГмбХ, Німеччина / БЕРЛІН‐ХЕМІ АГ,
Німеччина","таблетки, по 10 мг; 20 мг; 40 мг;","tablets, 10 mg; 20 mg; 40 mg ;",https://compendium.com.ua/info/170888/kardosal‐sup‐sup‐/
C09CA08,Olmesartan medoxomil,Олмесартану медоксоміл,ОЛЕМБІК‐20; ОЛЕМБІК‐40;,ОLЕМВІC‐20; ОLЕМВІC‐40;,"Алємбік Фармас'ютікелс
Лімітед, Індія","таблетки, по 40 мг; 20 мг","tablets, 40 mg ; 20 mg",https://mozdocs.kiev.ua/likiview.php?id=46873
C09CA08,Olmesartan medoxomil,Олмесартану медоксоміл,ОЛІМЕСТРА®,OLIMESTRA,"КРКА, д.д., Ново место, Словенія","таблетки, по 10 мг; 20 мг; 40 мг;","tablets, 10 mg; 20
mg; 4 0 mg;",https://mozdocs.kiev.ua/likiview.php?id=43932
C09CA07,Telmisartan,Телмісартан,ТЕЛМІСАРТАН‐ТЕВА,TELMISARTAN‐TEVA,"АТ Фармацевтичний завод ТЕВА,
Угорщина","таблетки, по 80 мг;","tablets, 80 mg;",https://compendium.com.ua/info/255295/telmisartan‐teva/
C09CA07,Telmisartan,Телмісартан,МІКАРДИС®,MICARDIS®,"Берінгер Інгельхайм Фарма ГмбХ і Ко. КГ,
Нiмеччина",таблетки по 80 мг;,80 mg tablets;,https://compendium.com.ua/info/166513/39940/
C09CA07,Telmisartan,Телмісартан,ТЕЛМІЛАКС,TELMILAX,"ЛАБОРАТОРІО ДР. Ф. ЕЧЕВАРНЕ,
АНАЛІСІС, С.А.","таблетки, по 20 мг; 40 мг; 80 мг;","tablets, 20 mg; 40
mg; 80 mg;",https://mozdocs.kiev.ua/likiview.php?id=47492
C09CA07,Telmisartan,Телмісартан,ТЕЛМІНОРМ‐80,TELMINORM‐80,"Іпка Лабораторіз
Лтд., Індія","таблетки, по 80 мг;","tablets, 80 mg;",NA
C09CA07,Telmisartan,Телмісартан,ТЕЛМІСТА,TELMISTA®,"КРКА, д.д., Ново
место, Словенія","таблетки, по 20 мг;
40 мг; 80 мг;","tablets, 20 mg; 40
mg; 80 mg;",NA
C09CA07,Telmisartan,Телмісартан,ТЕЛНОР,TELNOR,"Гетеро Лабз Лімітед,
Індія","таблетки, по 20 мг;
40 мг; 80 мг;","tablets, 20 mg; 40
mg; 80 mg;",NA
C09CA07,Telmisartan,Телмісартан,ТЕЛСАРТАН,TELSARTAN,"Д‐р Редді’с Лабораторіс Лтд,
Індія","таблетки, по 40 мг; 80 мг;","tablets, 40 mg; 80 mg;",NA
C09CA07,Telmisartan,Телмісартан,ХІПОТЕЛ,HYPOTEL®,"ТОВ ""КУСУМ
ФАРМ"", м. Суми,
Україна","таблетки, по 20 мг; 40 мг; 80 мг;","tablets, 20 mg; 40
mg; 80 mg;",NA
C09CA09,Azilsartan medoxomil,Азилсартану медоксоміл,ЕДАРБІТМ,EDARBI®,"Такеда Фармасьютікал Компані Лімітед, Осака Плант, Японія
/ Такеда Ірландія
Лтд, Ірландія","таблетки, по 20 мг; 40 мг; 80 мг;","tablets , 20 mg; 40
mg; 80 mg;",https://compendium.com.ua/info/220022/240671‐240672‐240673/
C09DA01,Losartan / Diuretics,"Лозартан /
Гідрохлоротіазид",ЛОЗАП® ПЛЮС,LOZAP® PLUS,"ТОВ ""Зентіва"",
Чеська Республіка","таблетки, № 10;","tablets, № 10 ;",https://compendium.com.ua/info/173621/lozap‐sup‐sup‐pljus/
C09DA01,Losartan / Diuretics,"Лозартан /
Гідрохлоротіазид",ЛОЗАРТАН ПЛЮС‐ ТЕВА,LOSARTAN PLUS‐ TEVA,"АТ Фармацевтичний завод ТЕВА,
Угорщина","таблетки, по
100 мг/25 мг;
50 мг/12,5 мг;","tablets,
100 mg / 25 mg;
50 mg / 12.5 mg;",https://compendium.com.ua/info/339263/lozartan‐pljus‐teva/
C09DA01,Losartan / Diuretics,"Лозартан /
Гідрохлоротіазид",ЛОРІСТА® Н,LORISTA® Н,"КРКА, д.д., Ново место, Словенія","таблетки, по 50
мг/12,5 мг;","tablets, 50 mg / 12.5 mg;",https://compendium.com.ua/info/171747/98162‐98164‐98166/
C09DA01,Losartan / Diuretics,"Лозартан /
Гідрохлоротіазид",ЛОРІСТА® Н 100,LORISTA® H 100,"КРКА, д.д., Ново место, Словенія","таблетки, по 100
мг/12,5 мг;","tablets, 100 mg /
12.5 mg;",https://compendium.com.ua/info/171747/143997/
C09DA01,Losartan / Diuretics,"Лозартан /
Гідрохлоротіазид",ЛОРІСТА® НD,LORISTA® НD,"КРКА, д.д., Ново место, Словенія","таблетки, по 100
мг/25 мг;","tablets, 100 mg / 25 mg;",https://compendium.com.ua/info/171747/98177/
C09DA01,Losartan / Diuretics,"Лозартан /
Гідрохлоротіазид",ЛОСАРТАН ПЛЮС,LOSARTAN PLUS,"Актавіс Лтд, Мальта","таблетки, по
100 мг/25 мг;
50 мг/12,5 мг;","tablets,
100 mg / 25 mg;
50 mg / 12.5 mg;",https://mozdocs.kiev.ua/likiview.php?id=46494
C09DA01,Losartan / Diuretics,"Лозартан /
Гідрохлоротіазид",КО‐СЕНТОР®,CO‐SENTOR®,"ВАТ ""Гедеон Ріхтер"", Угорщина","таблетки, по
100 мг/25 мг;
50 мг/12,5 мг;
100 мг/12,5 мг;","tablets,
100 mg / 25 mg;
50 mg / 12.5 mg;
100 mg / 12.5 mg;",https://compendium.com.ua/info/172444/ko‐sentor/
C09DA01,Losartan / Diuretics,"Лозартан /
Гідрохлоротіазид",САРТОКАД‐Н,SARTOKAD‐H,"Джубілант Дженерікс Лімітед,
Індія","таблетки, по
100 мг/25 мг;
50 мг/12,5 мг;","tablets,
100 mg / 25 mg;
50 mg / 12.5 mg;",https://mozdocs.kiev.ua/likiview.php?id=50651
C09DA01,Losartan / Diuretics,"Лозартан /
Гідрохлоротіазид",ПРЕСАРТАН® Н‐50,РRЕSАRТАN® Н‐50,"Іпка Лабораторіз Лімітед, Індія","таблетки, по 50
мг/12,5 мг;","tablets, 50 mg / 12.5 mg;",https://compendium.com.ua/info/167684/presartan‐sup‐sup‐/
C09DA03,Valsartan / Diuretics (Valsartan / Hydrochlorothiazide),"Валсартану /
Гідрохлоротіазид",АДЕНІЗ‐Н,ADENIZ‐H,"ТОВ Науково‐ виробнича фірма ""Мікрохім"", м.
Рубіжне, Луганська обл., Україна","таблетки, по
80 мг/12,5 мг;
160 мг/25 мг;
320 мг/25 мг;
160 мг/12,5 мг;
320 мг/12,5 мг;","tablets,
80 mg / 12.5 mg;
160 mg / 25 mg;
320 mg / 25 mg;
160 mg / 12.5 mg;
320 mg / 12.5 mg;",https://compendium.com.ua/info/360698/adeniz‐n/
C09DA03,Valsartan / Diuretics,"Валсартан /
Гідрохлоротіазид",ВАЛСАР‐Н,VALSAR‐Н,Ауробіндо Фарма Лімітед ‐ Юніт VII,"таблетки, по
80 мг/12,5 мг;
160 мг/25 мг:","tablets,
80 mg / 12.5 mg;
160 mg / 25 mg:",https://mozdocs.kiev.ua/likiview.php?id=39237
C09DA03,Valsartan / Diuretics,"Валсартан /
Гідрохлоротіазид","ВАЛСАРТАН 160/ ГІДРОХЛОРОТІАЗИД 25 КРКА; ВАЛСАРТАН 160/
ГІДРОХЛОРОТІАЗИД 12,5 КРКА; ВАЛСАРТАН 320/ ГІДРОХЛОРОТІАЗИД 12,5 КРКА;
ВАЛСАРТАН 320/ ГІДРОХЛОРОТІАЗИД 25 КРКА; ВАЛСАРТАН 80/
ГІДРОХЛОРОТІАЗИД
12,5 КРКА;","VALSARTAN 80/HYDROCHLOROT HIAZIDE 12,5 KRKA;¤ VALSARTAN
160/HYDROCHLOROT HIAZIDE 12,5 KRKA; VALSARTAN 160/HYDROCHLOROT HIAZIDE
25 KRKA; VALSARTAN 320/HYDROCHLOROT HIAZIDE 12,5 KRKA; VALSARTAN
320/HYDROCHLOROT
HIAZIDE 25 KRKA;","КРКА, д.д., Ново место, Словенія","таблетки, по 160
мг/25 мг;","tablets, 160 mg / 25 mg;",https://mozdocs.kiev.ua/likiview.php?id=38133
C09DA03,Valsartan / Diuretics,"Валсартан /
Гідрохлоротіазид","ВАЛЬСАКОР® Н 80;
ВАЛЬСАКОР® Н 160; ВАЛЬСАКОР® НD 160;
ВАЛЬСАКОР® Н 320; ВАЛЬСАКОР® НD 320;","VALSACOR® H 80;
VALSACOR® H 160;
VALSACOR® HD 160;
VALSACOR® H 320;
VALSACOR® HD 320;","КРКА, д.д., Ново место, Словенія","таблетки, по
160 мг/12,5 мг;
80 мг/12,5 мг;
320 мг/12,5 мг;
320 мг/25 мг;","tablets,
160 mg / 12.5 mg;
80 mg / 12.5 mg;
320 mg / 12.5 mg;
320 mg / 25 mg;",https://compendium.com.ua/info/171995/123582‐199542/https://compendium.com.ua/info/171995/123576‐199541/https://compendium.com.ua/info/171995/188290/https://compendium.com.ua/info/171995/188288/
C09DA03,Valsartan / Diuretics,"Валсартан /
Гідрохлоротіазид",ВАНАТЕКС КОМБІ,VANATEX COMBI,"Фармацевтичний Завод «Польфарма» С. А., Польща","таблетки, по
160 мг/12,5 мг;
160 мг/25 мг;
80 мг/12,5 мг;","tablets,
160 mg / 12.5 mg;
160 mg / 25 mg;
80 mg / 12.5 mg;",https://compendium.com.ua/info/211114/vanateks‐kombi/
C09DA03,Valsartan / Diuretics,"Валсартан /
Гідрохлоротіазид",ВАЛЬСАРІЯ Н,VALSARIA,"Новартіс Фарма С.п.А., Словенія/ C.К. Сандоз С.Р.Л, Румунія","таблетки, , по 160 мг/12,5 мг; 80 мг/12,5 мг ; 160 мг/25 мг;","tablets,
160 mg / 12.5 mg;
80 mg / 12.5 mg;
160 mg / 25 mg;",https://likicontrol.com.ua/%D1%96%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D1%96%D1%8F/?[37427
C09DA03,Valsartan / Diuretics,"Валсартан /
Гідрохлоротіазид","ДІОКОР 80;
ДІОКОР 160;","DIOCOR 80;
DIOCOR 160;","ТОВ ""Фарма Старт"", м.Київ, Україна","таблетки, по
160 мг/12,5 мг;
80 мг/12,5 мг;","tablets,
160 mg / 12.5 mg;
80 mg / 12.5 mg;",https://compendium.com.ua/info/200165/diokor‐160/
C09DA03,Valsartan / Diuretics,"Валсартан /
Гідрохлоротіазид",КО‐ДІОВАН®,CO‐DIOVAN®,"Новартіс Фарма Штейн АГ, Швейцарія","таблетки, по
80 мг/12,5 мг;
160 мг/12,5 мг
160 мг/25 мг;
320 мг/12,5 мг;
320 мг/25 мг;","tablets,
80 mg / 12.5 mg;
160 mg / 12.5 mg
160 mg / 25 mg;
320 mg / 12.5 mg;
320 mg / 25 mg;",https://compendium.com.ua/info/167588/ko‐diovan‐sup‐sup‐/
C09DA03,Valsartan / Diuretics,"Валсартан /
Гідрохлоротіазид",КОРСАР® Н,CORSAR H,"АТ ""Фармак""","таблетки, по
160 мг/12,5 мг;
160 мг/25 мг;
320 мг/12,5 мг;
320 мг/25 мг;
80 мг/12,5 мг;","tablets,
160 mg / 12.5 mg;
160 mg / 25 mg;
320 mg / 12.5 mg;
320 mg / 25 mg;
80 mg / 12.5 mg;",https://compendium.com.ua/info/167588/ko‐diovan‐sup‐sup‐/
C09DA03,Valsartan / Diuretics,"Валсартан /
Гідрохлортіазид",ТІАРА ДУО,TIARA DUO,"ПрАТ
""Фармацевтична фірма ""Дарниця"",
Україна","таблетки, по
160 мг/12,5 мг;
160 мг/25 мг;
80/12,5 мг;","tablets,
160 mg / 12.5 mg;
160 mg / 25 mg;
80 / 12.5 mg ;",https://compendium.com.ua/info/326064/
C09DA03,Valsartan / Diuretics,"Валсартан /
Гідрохлоротіазид",САКОРД Н,SAKORD H,"БАЛКАНФАРМА‐ ДУПНИЦЯ АД,
Болгарія","таблетки, по
160 мг/12,5 мг;
80 мг/12,5 мг;","tablets,
160 mg / 12.5 mg;
80 mg / 12.5 mg;",https://compendium.com.ua/info/255366/
C09DA04,Irbesartan / Diuretics,"Ірбесартану /
Гідрохлоротіазид","ІРБАТАЛ‐H 150;
ІРБАТАЛ‐H 300;","IRBATAL‐H 150;
IRBATAL‐H 150;","Алємбік Фармас'ютікелс
Лімітед, Індія","таблетки по
150 мг/12,5 мг;
300 мг/12,5 мг;","tablets,
150 mg / 12.5 mg;
300 mg / 12.5 mg;",https://mozdocs.kiev.ua/likiview.php?id=46031
C09DA04,Irbesartan / Diuretics,"Ірбесартан /
Гідрохлоротіазид",ІРБЕТАН‐Н,IRBETAN‐H,"АТ ""Київський вітамінний завод"",
м.Київ, Україна","таблетки, по
150 мг/12,5 мг;
300 мг/12,5 мг;","tablets,
150 mg / 12.5 mg;
300 mg / 12.5 mg;",https://compendium.com.ua/info/220300/irbetan‐n/
C09DA04,Irbesartan / Diuretics,"Ірбесартан /
Гідрохлоротіазид",ІСТАР H,ISTAR H,"Люпін Лімітед, Індія","таблетки, по
150 мг/12,5 мг;
300 мг/12,5 мг;
300 мг/25 мг;","tablets,
150 mg / 12.5 mg;
300 mg / 12.5 mg;
300 mg / 25 mg;",https://mozdocs.kiev.ua/likiview.php?id=43225
C09DA04,Irbesartan / Diuretics,"Ірбесартану /
Гідрохлоротіазид",КО‐ІРБЕСАН®,CO‐IRBESAN,"НОБЕЛ ІЛАЧ САНАЇ ВЕ ТІДЖАРЕТ А.Ш.,
Туреччина","таблетки, по
150 мг/12,5 мг;
300 мг/12,5 мг;","tablets,
150 mg / 12.5 mg;
300 mg / 12.5 mg;",https://compendium.com.ua/info/173249/ko‐irbesan‐sup‐sup‐/
C09DA06,Candesartan / Diuretics,"Кандесартан /
Гідрохлоротіазид",АТАКАНД ПЛЮС,ATACAND® PLUS,"АстраЗенека АБ, Швеція","таблетки по 16
мг/12,5 мг;",16 mg / 12.5 mg tablets;,https://compendium.com.ua/info/171322/atakand‐pljus/
